,Date,Records,More
T903,2009-06-03,2,
T903,2009-06-05,1,
T903,2009-06-15,1,
T903,2009-06-22,11,
T903,2009-06-29,1,1
T903,2009-07-13,3,
T903,2009-07-17,5,1
T903,2009-07-27,7,
T903,2009-07-31,4,1
T903,2009-08-07,4,1
T903,2009-08-13,2,1
T903,2009-08-25,5,
T903,2009-08-27,1,1
T903,2009-09-03,2,
T903,2009-09-14,3,
T903,2009-09-17,2,1
T903,2009-09-25,3,
T903,2009-10-01,2,1
T903,2011-06-10,1,
T903,2011-06-17,2,
T903,2011-06-30,3,
T903,2011-07-11,5,
T903,2011-07-15,6,1
T903,2011-07-25,6,
T903,2011-07-29,5,1
T903,2011-08-05,4,1
T903,2011-08-12,3,1
T903,2011-08-19,2,1
T903,2011-08-26,2,1
T903,2011-09-02,6,1
T903,2011-09-12,6,
T903,2011-09-16,6,1
T903,2011-09-23,3,1
T903,2011-09-30,4,1
T903,2013-06-07,2,
T903,2013-06-14,1,1
T903,2013-06-21,2,
T903,2013-06-28,1,1
T903,2013-07-08,1,
T903,2013-07-12,1,
T903,2013-07-19,1,
T903,2013-07-25,2,
T903,2013-08-01,1,1
T903,2013-08-08,1,
T903,2013-08-22,1,
T903,2013-08-29,1,
T903,2013-09-06,1,
T903,2013-09-12,1,
